;Scopy version,f4beeb1
;Exported on,Wednesday October 09/10/2024
;Device,M2K
;Nr of samples,65536
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,100,Exponential RMS,Blackman-Harris,100,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
198,3021.24,1.48158e-05,1.36269e-06
199,3036.5,1.46209e-05,1.41546e-06
200,3051.76,1.40617e-05,1.41451e-06
201,3067.02,1.45862e-05,1.30811e-06
202,3082.28,1.55121e-05,1.30893e-06
203,3097.53,1.54636e-05,1.34719e-06
204,3112.79,1.51499e-05,1.28207e-06
205,3128.05,1.48436e-05,1.26658e-06
206,3143.31,1.39319e-05,1.31391e-06
207,3158.57,1.35589e-05,1.34022e-06
208,3173.83,1.3897e-05,1.30563e-06
209,3189.09,1.42211e-05,1.34771e-06
210,3204.35,1.42106e-05,1.41634e-06
211,3219.6,1.40232e-05,1.42666e-06
212,3234.86,1.45153e-05,1.40465e-06
213,3250.12,1.49714e-05,1.39292e-06
214,3265.38,1.45775e-05,1.31522e-06
215,3280.64,1.46176e-05,1.23391e-06
216,3295.9,1.46561e-05,1.25808e-06
217,3311.16,1.46982e-05,1.26441e-06
218,3326.42,1.4261e-05,1.25945e-06
219,3341.67,1.41174e-05,1.26225e-06
220,3356.93,1.4091e-05,1.2837e-06
221,3372.19,1.40106e-05,1.35747e-06
222,3387.45,1.40666e-05,1.34677e-06
223,3402.71,1.44807e-05,1.30192e-06
224,3417.97,1.52832e-05,1.33574e-06
225,3433.23,1.52584e-05,1.36432e-06
226,3448.49,1.43449e-05,1.3186e-06
227,3463.75,1.41592e-05,1.31045e-06
228,3479,1.38957e-05,1.32651e-06
229,3494.26,1.38705e-05,1.38914e-06
230,3509.52,1.35704e-05,1.39852e-06
231,3524.78,1.33055e-05,1.3545e-06
232,3540.04,1.35281e-05,1.30746e-06
233,3555.3,1.3562e-05,1.32469e-06
234,3570.56,1.42021e-05,1.34584e-06
235,3585.82,1.48967e-05,1.40614e-06
236,3601.07,1.53322e-05,1.40504e-06
237,3616.33,1.58531e-05,1.30589e-06
238,3631.59,1.54282e-05,1.28604e-06
239,3646.85,1.48256e-05,1.2921e-06
