;Scopy version,f4beeb1,,,,,,,,
;Exported on,Friday October 11/10/2024,,,,,Average Ch. 1,,Average Ch. 2,
;Device,M2K,,,,,4.00E-06,V/sqrt(Hz),3.89E-06,V/sqrt(Hz)
;Nr of samples,4096,,,,,,,,
;Sample rate,0,,,,,,,,
;Tool,Spectrum Analyzer,,,,,,,,
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,,,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz),,,,,,
249,6079.1,4.04E-06,3.80E-06,,,,,,
250,6103.52,3.92E-06,3.79E-06,,,,,,
251,6127.93,3.84E-06,3.86E-06,,,,,,
252,6152.34,3.89E-06,3.92E-06,,,,,,
253,6176.76,3.98E-06,3.90E-06,,,,,,
254,6201.17,4.07E-06,3.87E-06,,,,,,
255,6225.59,4.07E-06,3.87E-06,,,,,,
256,6250,4.07E-06,3.81E-06,,,,,,
257,6274.41,4.11E-06,3.84E-06,,,,,,
258,6298.83,4.02E-06,3.97E-06,,,,,,
259,6323.24,3.98E-06,3.99E-06,,,,,,
260,6347.66,4.08E-06,3.95E-06,,,,,,
261,6372.07,4.07E-06,3.96E-06,,,,,,
262,6396.48,4.02E-06,3.91E-06,,,,,,
263,6420.9,4.03E-06,3.86E-06,,,,,,
264,6445.31,4.03E-06,3.89E-06,,,,,,
265,6469.73,4.01E-06,3.94E-06,,,,,,
266,6494.14,4.03E-06,4.00E-06,,,,,,
267,6518.55,4.05E-06,4.03E-06,,,,,,
268,6542.97,4.02E-06,3.98E-06,,,,,,
269,6567.38,3.99E-06,3.93E-06,,,,,,
270,6591.8,3.96E-06,3.90E-06,,,,,,
271,6616.21,3.99E-06,3.89E-06,,,,,,
272,6640.63,4.03E-06,3.96E-06,,,,,,
273,6665.04,4.06E-06,3.95E-06,,,,,,
274,6689.45,4.07E-06,3.87E-06,,,,,,
275,6713.87,4.02E-06,3.83E-06,,,,,,
276,6738.28,4.08E-06,3.86E-06,,,,,,
277,6762.7,4.08E-06,3.87E-06,,,,,,
278,6787.11,4.02E-06,3.90E-06,,,,,,
279,6811.52,4.02E-06,3.92E-06,,,,,,
280,6835.94,4.00E-06,3.91E-06,,,,,,
281,6860.35,3.96E-06,3.91E-06,,,,,,
282,6884.77,4.00E-06,3.98E-06,,,,,,
283,6909.18,4.07E-06,3.97E-06,,,,,,
284,6933.59,4.03E-06,3.92E-06,,,,,,
285,6958.01,3.98E-06,4.04E-06,,,,,,
286,6982.42,4.00E-06,4.10E-06,,,,,,
287,7006.84,4.02E-06,4.04E-06,,,,,,
288,7031.25,3.98E-06,4.00E-06,,,,,,
289,7055.66,4.00E-06,4.01E-06,,,,,,
290,7080.08,4.07E-06,3.98E-06,,,,,,
291,7104.49,4.10E-06,3.93E-06,,,,,,
292,7128.91,4.06E-06,3.95E-06,,,,,,
293,7153.32,4.04E-06,3.91E-06,,,,,,
294,7177.73,4.06E-06,3.80E-06,,,,,,
295,7202.15,4.08E-06,3.82E-06,,,,,,
296,7226.56,4.05E-06,3.90E-06,,,,,,
297,7250.98,3.97E-06,3.90E-06,,,,,,
298,7275.39,3.97E-06,3.87E-06,,,,,,
299,7299.8,4.00E-06,3.92E-06,,,,,,
300,7324.22,3.95E-06,3.94E-06,,,,,,
301,7348.63,3.97E-06,3.93E-06,,,,,,
302,7373.05,4.00E-06,3.88E-06,,,,,,
303,7397.46,3.96E-06,3.84E-06,,,,,,
304,7421.88,3.95E-06,3.86E-06,,,,,,
305,7446.29,3.95E-06,3.88E-06,,,,,,
306,7470.7,3.94E-06,3.83E-06,,,,,,
307,7495.12,3.96E-06,3.84E-06,,,,,,
308,7519.53,4.04E-06,3.92E-06,,,,,,
309,7543.95,4.00E-06,3.93E-06,,,,,,
310,7568.36,3.97E-06,3.92E-06,,,,,,
311,7592.77,3.98E-06,3.93E-06,,,,,,
312,7617.19,3.94E-06,3.92E-06,,,,,,
313,7641.6,3.93E-06,3.90E-06,,,,,,
314,7666.02,3.97E-06,3.87E-06,,,,,,
315,7690.43,3.99E-06,3.83E-06,,,,,,
316,7714.84,4.00E-06,3.81E-06,,,,,,
317,7739.26,4.00E-06,3.85E-06,,,,,,
318,7763.67,4.05E-06,3.90E-06,,,,,,
319,7788.09,4.03E-06,3.99E-06,,,,,,
320,7812.5,3.97E-06,3.93E-06,,,,,,
321,7836.91,3.99E-06,3.84E-06,,,,,,
322,7861.33,4.02E-06,3.94E-06,,,,,,
323,7885.74,4.03E-06,3.93E-06,,,,,,
