;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
216,5273.44,1.55837e-05,3.86734e-06
217,5297.85,1.60592e-05,3.82782e-06
218,5322.27,1.61164e-05,3.8866e-06
219,5346.68,1.60511e-05,3.92909e-06
220,5371.09,1.62344e-05,3.92384e-06
221,5395.51,1.61771e-05,3.91896e-06
222,5419.92,1.58896e-05,3.93624e-06
223,5444.34,1.55336e-05,3.90886e-06
224,5468.75,1.53284e-05,3.84328e-06
225,5493.16,1.55126e-05,3.83304e-06
226,5517.58,1.59801e-05,3.93596e-06
227,5541.99,1.60902e-05,3.96742e-06
228,5566.41,1.5991e-05,3.90738e-06
229,5590.82,1.59309e-05,3.91024e-06
230,5615.23,1.60084e-05,3.91908e-06
231,5639.65,1.60565e-05,3.87415e-06
232,5664.06,1.59967e-05,3.93544e-06
233,5688.48,1.61401e-05,3.97192e-06
234,5712.89,1.62852e-05,3.90021e-06
235,5737.3,1.61376e-05,3.87257e-06
236,5761.72,1.59676e-05,3.90978e-06
237,5786.13,1.61248e-05,3.90503e-06
238,5810.55,1.62244e-05,3.90511e-06
239,5834.96,1.60085e-05,3.94748e-06
240,5859.38,1.58311e-05,3.98015e-06
241,5883.79,1.57318e-05,3.93803e-06
242,5908.2,1.58518e-05,3.89401e-06
243,5932.62,1.60888e-05,3.9226e-06
244,5957.03,1.61001e-05,3.98078e-06
245,5981.45,1.63134e-05,3.93547e-06
246,6005.86,1.61943e-05,3.88302e-06
247,6030.27,1.60407e-05,3.91674e-06
248,6054.69,1.61255e-05,3.95124e-06
249,6079.1,1.58979e-05,4.01058e-06
250,6103.52,1.58455e-05,3.94343e-06
251,6127.93,1.56932e-05,3.8061e-06
252,6152.34,1.58459e-05,3.85167e-06
253,6176.76,1.60482e-05,3.91356e-06
254,6201.17,1.5865e-05,3.89335e-06
255,6225.59,1.58472e-05,3.92693e-06
256,6250,1.60735e-05,3.94809e-06
257,6274.41,1.63027e-05,3.96142e-06
258,6298.83,1.63801e-05,3.98917e-06
