Sample,Frequency(Hz),Amplitude CH1(V/rt(Hz)),Amplitude CH2(V/rt(Hz))
270,6591.8,5.48239e-06,4.00248e-06
271,6616.21,5.44468e-06,3.97261e-06
272,6640.63,5.32516e-06,3.94253e-06
273,6665.04,5.30393e-06,3.92143e-06
274,6689.45,5.31647e-06,3.91392e-06
275,6713.87,5.28965e-06,3.96172e-06
276,6738.28,5.28118e-06,4.00988e-06
277,6762.7,5.31972e-06,4.03005e-06
278,6787.11,5.38604e-06,4.1079e-06
279,6811.52,5.32282e-06,4.17308e-06
280,6835.94,5.26348e-06,4.13905e-06
281,6860.35,5.35284e-06,4.05944e-06
282,6884.77,5.48197e-06,4.05205e-06
283,6909.18,5.46064e-06,4.09548e-06
284,6933.59,5.43474e-06,4.10934e-06
285,6958.01,5.40195e-06,4.04108e-06
286,6982.42,5.37252e-06,3.99157e-06
287,7006.84,5.35209e-06,3.97521e-06
288,7031.25,5.38969e-06,3.9347e-06
289,7055.66,5.42308e-06,3.9928e-06
290,7080.08,5.46788e-06,3.99938e-06
291,7104.49,5.44902e-06,3.88193e-06
292,7128.91,5.35013e-06,3.87024e-06
293,7153.32,5.2531e-06,3.95544e-06
294,7177.73,5.37173e-06,3.94355e-06
295,7202.15,5.49825e-06,3.88345e-06
296,7226.56,5.46479e-06,3.9118e-06
297,7250.98,5.34489e-06,3.96145e-06
298,7275.39,5.28967e-06,3.95911e-06
299,7299.8,5.24514e-06,4.05435e-06
300,7324.22,5.24217e-06,4.08713e-06
301,7348.63,5.3594e-06,4.03496e-06
302,7373.05,5.37368e-06,3.9932e-06
303,7397.46,5.27074e-06,3.95161e-06
304,7421.88,5.26573e-06,3.90378e-06
305,7446.29,5.33282e-06,3.95527e-06
306,7470.7,5.39105e-06,4.02145e-06
307,7495.12,5.40806e-06,3.9369e-06
308,7519.53,5.4333e-06,3.82435e-06
309,7543.95,5.4683e-06,3.89907e-06
310,7568.36,5.46365e-06,3.88984e-06
311,7592.77,5.56665e-06,3.87907e-06
312,7617.19,5.54529e-06,3.98606e-06
313,7641.6,5.37876e-06,4.04052e-06
314,7666.02,5.37079e-06,3.95374e-06
315,7690.43,5.46634e-06,3.96966e-06
316,7714.84,5.4589e-06,4.02814e-06
317,7739.26,5.47243e-06,4.03902e-06
318,7763.67,5.41768e-06,4.05713e-06
319,7788.09,5.38083e-06,3.93272e-06
320,7812.5,5.3822e-06,3.81234e-06
321,7836.91,5.33586e-06,3.83892e-06
322,7861.33,5.38473e-06,3.97258e-06
323,7885.74,5.35108e-06,4.15392e-06
324,7910.16,5.25435e-06,4.22122e-06
325,7934.57,5.16391e-06,4.15438e-06
326,7958.98,5.30812e-06,4.07998e-06
327,7983.4,5.43698e-06,4.06179e-06
328,8007.81,5.41971e-06,3.94515e-06
329,8032.23,5.38588e-06,3.87317e-06
330,8056.64,5.43219e-06,3.91232e-06
331,8081.05,5.5325e-06,4.02612e-06
332,8105.47,5.58841e-06,4.03548e-06
333,8129.88,5.56879e-06,4.04816e-06
334,8154.3,5.43415e-06,4.10293e-06
335,8178.71,5.27329e-06,4.1085e-06
336,8203.13,5.33941e-06,4.05199e-06
337,8227.54,5.51781e-06,3.99217e-06
338,8251.95,5.51406e-06,3.92127e-06
339,8276.37,5.51709e-06,3.94402e-06
340,8300.78,5.53475e-06,4.03851e-06
341,8325.2,5.49328e-06,4.04644e-06
342,8349.61,5.49349e-06,4.02761e-06
343,8374.02,5.42122e-06,3.94783e-06
344,8398.44,5.41353e-06,3.89483e-06
345,8422.85,5.43479e-06,3.97205e-06
346,8447.27,5.43784e-06,4.04029e-06
347,8471.68,5.40568e-06,4.10686e-06
348,8496.09,5.39871e-06,4.02428e-06
349,8520.51,5.45209e-06,3.90443e-06
350,8544.92,5.41383e-06,3.95764e-06
351,8569.34,5.4355e-06,4.06476e-06
352,8593.75,5.53417e-06,4.07322e-06
353,8618.16,5.62771e-06,4.01575e-06
354,8642.58,5.58528e-06,4.01758e-06
355,8666.99,5.52912e-06,4.03589e-06
356,8691.41,5.57053e-06,4.04704e-06
357,8715.82,5.61734e-06,3.9871e-06
358,8740.23,5.61261e-06,4.02249e-06
359,8764.65,5.48351e-06,4.05977e-06
360,8789.06,5.38632e-06,3.99022e-06
361,8813.48,5.41005e-06,3.92464e-06
362,8837.89,5.32138e-06,3.92097e-06
363,8862.3,5.26646e-06,4.07113e-06
364,8886.72,5.46064e-06,4.10059e-06
