frequency(Hz),V/rt(Hz)
1359.375,2.11116020589838E-7
1367.1875,2.11169637479417E-7
1375,2.12606101125807E-7
1382.8125,2.15216690934179E-7
1390.625,2.1608169139781E-7
1398.4375,2.12964331013826E-7
1406.25,2.10082040291789E-7
1414.0625,2.09420967013408E-7
1421.875,2.08334803676013E-7
1429.6875,2.07407430719631E-7
1437.5,2.07456798882569E-7
1445.3125,2.07247144293249E-7
1453.125,2.05232401652538E-7
1460.9375,2.04586681551012E-7
1468.75,2.06426238811237E-7
1476.5625,2.07496879666087E-7
1484.375,2.05061820108244E-7
1492.1875,2.00598052660002E-7
1500,1.98859128075088E-7
1507.8125,1.99324265482971E-7
1515.625,1.98391509661193E-7
1523.4375,1.97151694458279E-7
1531.25,1.98683922666229E-7
1539.0625,1.99871275167272E-7
1546.875,1.99387179103023E-7
1554.6875,2.01512016265919E-7
1562.5,2.0278483401614E-7
1570.3125,2.00913531825933E-7
1578.125,2.0021554210803E-7
1585.9375,1.99767681218055E-7
1593.75,1.99141485753421E-7
1601.5625,1.99317165856051E-7
1609.375,1.97923243940587E-7
1617.1875,1.977070159689E-7
1625,1.99698887502748E-7
1632.8125,2.01999672738673E-7
1640.625,2.04361583948354E-7
1648.4375,2.0517962459981E-7
1656.25,2.04221933275264E-7
1664.0625,2.03508315261595E-7
1671.875,2.01966571264064E-7
1679.6875,1.9883911301852E-7
1687.5,1.96192232257663E-7
1695.3125,1.96275248194205E-7
1703.125,1.99148433032471E-7
1710.9375,1.99766384636066E-7
1718.75,1.9771611184407E-7
1726.5625,1.9536407780065E-7
1734.375,1.92692239162089E-7
1742.1875,1.91379337350021E-7
1750,1.9407710796372E-7
1757.8125,1.96273638860168E-7
1765.625,1.93885200315678E-7
1773.4375,1.93007886354098E-7
1781.25,1.97474897603531E-7
1789.0625,2.00143093579304E-7
1796.875,1.98485021749983E-7
1804.6875,1.96100000030003E-7
1812.5,1.93109185347453E-7
1820.3125,1.90995685246274E-7
1828.125,1.90702702559189E-7
1835.9375,1.9074803709483E-7
1843.75,1.92141943324397E-7
1851.5625,1.96209018560491E-7
1859.375,2.00320292063924E-7
1867.1875,1.99676583763882E-7
1875,1.95750388483465E-7
1882.8125,1.95757972456213E-7
1890.625,1.97784030105317E-7
1898.4375,1.97138150289724E-7
1906.25,1.96416903721932E-7
1914.0625,1.95292784002263E-7
1921.875,1.93124898454625E-7
1929.6875,1.93002932935124E-7
1937.5,1.93222921122976E-7
1945.3125,1.91206903702518E-7
1953.125,1.88634550685678E-7
1960.9375,1.8788565606515E-7
1968.75,1.90450538177548E-7
1976.5625,1.94965175043361E-7
1984.375,2.02451832649726E-7
1992.1875,2.20307597054574E-7
2000,2.32500226422733E-7
2007.8125,2.17255051129632E-7
2015.625,1.95090047951894E-7
2023.4375,1.87809499618464E-7
2031.25,1.89473947615037E-7
2039.0625,1.9236602509003E-7
2046.875,1.91867778500847E-7
2054.6875,1.89793671260794E-7
2062.5,1.890949823858E-7
2070.3125,1.88231276266843E-7
2078.125,1.85513067106542E-7
2085.9375,1.83461601437133E-7
2093.75,1.85426919395988E-7
2101.5625,1.88386168408549E-7
2109.375,1.8883642251118E-7
2117.1875,1.89378710305868E-7
2125,1.91377026639391E-7
2132.8125,1.92711974745766E-7
2140.625,1.9156798427881E-7
2148.4375,1.88844005372636E-7
2156.25,1.86561526419474E-7
2164.0625,1.87472531822436E-7
2171.875,1.87892072490441E-7
2179.6875,1.84860743663299E-7
2187.5,1.8313312863845E-7
2195.3125,1.84115279275259E-7
2203.125,1.85680774319943E-7
2210.9375,1.86784326555116E-7
