frequency(Hz),V/rt(Hz),Title
10.43701172,8.25E-09,SR1 PSD @ 1.5625 kHz Span
10.49804688,7.46E-09,SR1 PSD @ 1.5625 kHz Span
10.55908203,7.20E-09,SR1 PSD @ 1.5625 kHz Span
10.62011719,8.26E-09,SR1 PSD @ 1.5625 kHz Span
10.68115234,9.11E-09,SR1 PSD @ 1.5625 kHz Span
10.7421875,8.81E-09,SR1 PSD @ 1.5625 kHz Span
10.80322266,8.20E-09,SR1 PSD @ 1.5625 kHz Span
10.86425781,7.87E-09,SR1 PSD @ 1.5625 kHz Span
10.92529297,7.70E-09,SR1 PSD @ 1.5625 kHz Span
10.98632813,8.08E-09,SR1 PSD @ 1.5625 kHz Span
11.04736328,8.54E-09,SR1 PSD @ 1.5625 kHz Span
11.10839844,8.56E-09,SR1 PSD @ 1.5625 kHz Span
11.16943359,8.19E-09,SR1 PSD @ 1.5625 kHz Span
11.23046875,7.80E-09,SR1 PSD @ 1.5625 kHz Span
11.29150391,7.79E-09,SR1 PSD @ 1.5625 kHz Span
11.35253906,8.19E-09,SR1 PSD @ 1.5625 kHz Span
11.41357422,8.62E-09,SR1 PSD @ 1.5625 kHz Span
11.47460938,8.65E-09,SR1 PSD @ 1.5625 kHz Span
11.53564453,8.27E-09,SR1 PSD @ 1.5625 kHz Span
11.59667969,7.48E-09,SR1 PSD @ 1.5625 kHz Span
11.65771484,7.00E-09,SR1 PSD @ 1.5625 kHz Span
11.71875,7.19E-09,SR1 PSD @ 1.5625 kHz Span
11.77978516,7.59E-09,SR1 PSD @ 1.5625 kHz Span
11.84082031,7.66E-09,SR1 PSD @ 1.5625 kHz Span
11.90185547,7.31E-09,SR1 PSD @ 1.5625 kHz Span
11.96289063,7.10E-09,SR1 PSD @ 1.5625 kHz Span
12.02392578,7.05E-09,SR1 PSD @ 1.5625 kHz Span
12.08496094,7.18E-09,SR1 PSD @ 1.5625 kHz Span
12.14599609,7.40E-09,SR1 PSD @ 1.5625 kHz Span
12.20703125,7.90E-09,SR1 PSD @ 1.5625 kHz Span
12.26806641,8.59E-09,SR1 PSD @ 1.5625 kHz Span
12.32910156,8.45E-09,SR1 PSD @ 1.5625 kHz Span
12.39013672,7.82E-09,SR1 PSD @ 1.5625 kHz Span
12.45117188,7.58E-09,SR1 PSD @ 1.5625 kHz Span
12.51220703,7.38E-09,SR1 PSD @ 1.5625 kHz Span
12.57324219,7.08E-09,SR1 PSD @ 1.5625 kHz Span
