frequency(Hz),V/rt(Hz),Title
1242.1875,2.15E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1250,2.15E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1257.8125,2.16E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1265.625,2.16E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1273.4375,2.12E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1281.25,2.10E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1289.0625,2.09E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1296.875,2.08E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1304.6875,2.08E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1312.5,2.07E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1320.3125,2.06E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1328.125,2.05E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1335.9375,2.06E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1343.75,2.09E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1351.5625,2.11E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1359.375,2.11E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1367.1875,2.11E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1375,2.13E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1382.8125,2.15E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1390.625,2.16E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1398.4375,2.13E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1406.25,2.10E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1414.0625,2.09E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1421.875,2.08E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1429.6875,2.07E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1437.5,2.07E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1445.3125,2.07E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1453.125,2.05E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1460.9375,2.05E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1468.75,2.06E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1476.5625,2.07E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1484.375,2.05E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1492.1875,2.01E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1500,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1507.8125,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1515.625,1.98E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1523.4375,1.97E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1531.25,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1539.0625,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1546.875,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1554.6875,2.02E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1562.5,2.03E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1570.3125,2.01E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1578.125,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1585.9375,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1593.75,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1601.5625,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1609.375,1.98E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1617.1875,1.98E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1625,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1632.8125,2.02E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1640.625,2.04E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1648.4375,2.05E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1656.25,2.04E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1664.0625,2.04E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1671.875,2.02E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1679.6875,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1687.5,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1695.3125,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1703.125,1.99E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1710.9375,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1718.75,1.98E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1726.5625,1.95E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1734.375,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1742.1875,1.91E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1750,1.94E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1757.8125,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1765.625,1.94E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1773.4375,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1781.25,1.97E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1789.0625,2.00E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1796.875,1.98E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1804.6875,1.96E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1812.5,1.93E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1820.3125,1.91E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1828.125,1.91E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1835.9375,1.91E-07,LMH6624 PSD @ 200 kHz Hi BW Span
1843.75,1.92E-07,LMH6624 PSD @ 200 kHz Hi BW Span
