;Scopy version,f4beeb1
;Exported on,Monday October 28/10/2024
;Device,M2K
;Nr of samples,4096
;Sample rate,0
;Tool,Spectrum Analyzer
;Additional Information,Exponential RMS,Blackman-Harris,500,Exponential RMS,Blackman-Harris,500,
Sample,Frequency(Hz),Amplitude CH1(V/?Hz),Amplitude CH2(V/?Hz)
407,9936.52,7.0944e-05,4.03513e-06
408,9960.94,6.91557e-05,3.95164e-06
409,9985.35,6.83916e-05,3.8785e-06
410,10009.8,6.8916e-05,3.87018e-06
411,10034.2,6.87281e-05,3.89688e-06
412,10058.6,6.95932e-05,3.91507e-06
413,10083,6.98968e-05,3.90525e-06
414,10107.4,6.94153e-05,3.98765e-06
415,10131.8,6.86429e-05,3.96695e-06
416,10156.3,6.86967e-05,3.81552e-06
417,10180.7,6.87251e-05,3.75057e-06
418,10205.1,6.84408e-05,3.81531e-06
419,10229.5,6.81993e-05,3.89872e-06
420,10253.9,6.79706e-05,3.9667e-06
421,10278.3,6.85768e-05,3.98503e-06
422,10302.7,6.94908e-05,3.98951e-06
423,10327.1,7.01733e-05,3.97957e-06
424,10351.6,6.86147e-05,3.95526e-06
425,10376,6.69416e-05,3.93085e-06
426,10400.4,6.83349e-05,3.84489e-06
427,10424.8,7.03372e-05,3.79412e-06
428,10449.2,7.02009e-05,3.89966e-06
429,10473.6,6.92407e-05,3.94422e-06
430,10498,7.00188e-05,3.94138e-06
431,10522.5,7.05656e-05,4.03476e-06
432,10546.9,6.98172e-05,4.02957e-06
433,10571.3,7.05984e-05,3.98996e-06
434,10595.7,7.1973e-05,3.97708e-06
435,10620.1,7.23828e-05,3.96195e-06
436,10644.5,7.19776e-05,3.93292e-06
437,10668.9,7.06441e-05,3.90414e-06
438,10693.4,6.945e-05,3.90932e-06
439,10717.8,6.89821e-05,3.90505e-06
440,10742.2,7.04531e-05,3.85323e-06
441,10766.6,7.09869e-05,3.85142e-06
442,10791,7.01807e-05,3.89588e-06
443,10815.4,7.09511e-05,3.8969e-06
444,10839.8,7.19379e-05,3.96408e-06
445,10864.3,7.22854e-05,4.03792e-06
446,10888.7,7.17894e-05,4.02511e-06
447,10913.1,7.04612e-05,3.96308e-06
448,10937.5,6.93532e-05,3.96729e-06
449,10961.9,6.88176e-05,3.93141e-06
450,10986.3,7.09136e-05,3.99957e-06
451,11010.7,7.1555e-05,4.00733e-06
452,11035.2,7.02459e-05,3.93495e-06
453,11059.6,6.99194e-05,3.90698e-06
454,11084,6.86404e-05,3.89226e-06
455,11108.4,6.7311e-05,3.93999e-06
456,11132.8,6.85515e-05,3.99158e-06
457,11157.2,6.92178e-05,3.95943e-06
458,11181.6,6.98899e-05,3.92342e-06
459,11206.1,7.05929e-05,3.93813e-06
460,11230.5,7.1234e-05,3.93036e-06
461,11254.9,7.09871e-05,3.93969e-06
462,11279.3,6.99495e-05,4.03551e-06
463,11303.7,6.86191e-05,4.06734e-06
464,11328.1,6.92632e-05,4.02997e-06
465,11352.5,7.11217e-05,3.9538e-06
466,11377,7.17442e-05,3.87731e-06
467,11401.4,7.10943e-05,3.89836e-06
468,11425.8,7.03874e-05,4.00096e-06
469,11450.2,7.05753e-05,4.09506e-06
470,11474.6,7.04537e-05,4.05726e-06
471,11499,6.9507e-05,3.90526e-06
472,11523.4,6.82083e-05,3.84048e-06
473,11547.9,6.98282e-05,3.78593e-06
474,11572.3,7.10145e-05,3.76763e-06
475,11596.7,7.06109e-05,3.86102e-06
476,11621.1,7.07075e-05,3.92363e-06
477,11645.5,7.07438e-05,3.91069e-06
478,11669.9,7.05773e-05,3.89562e-06
479,11694.3,7.07287e-05,3.96945e-06
480,11718.8,7.02768e-05,3.9615e-06
481,11743.2,6.9359e-05,3.89823e-06
482,11767.6,7.01571e-05,3.90873e-06
483,11792,7.05962e-05,3.95652e-06
484,11816.4,6.86239e-05,3.96512e-06
485,11840.8,6.71911e-05,4.00018e-06
486,11865.2,6.87722e-05,3.96874e-06
487,11889.6,7.03343e-05,3.86402e-06
488,11914.1,7.00688e-05,3.8031e-06
489,11938.5,7.01068e-05,3.81422e-06
490,11962.9,7.0075e-05,3.87396e-06
491,11987.3,6.90605e-05,3.86435e-06
492,12011.7,6.88928e-05,3.788e-06
493,12036.1,7.03797e-05,3.80962e-06
494,12060.5,7.04599e-05,3.84242e-06
495,12085,7.00402e-05,3.89149e-06
496,12109.4,7.07081e-05,3.95909e-06
497,12133.8,6.94744e-05,3.90105e-06
498,12158.2,6.708e-05,3.82743e-06
499,12182.6,6.80337e-05,3.80598e-06
500,12207,7.0605e-05,3.86139e-06
501,12231.4,7.12008e-05,3.94411e-06
502,12255.9,6.93919e-05,3.87918e-06
503,12280.3,6.8696e-05,3.93478e-06
504,12304.7,6.94827e-05,3.98262e-06
505,12329.1,7.04682e-05,3.85427e-06
506,12353.5,7.1084e-05,3.84163e-06
507,12377.9,7.29103e-05,3.9375e-06
508,12402.3,7.30398e-05,3.9016e-06
509,12426.8,7.09594e-05,3.80138e-06
510,12451.2,6.91125e-05,3.80985e-06
511,12475.6,6.95462e-05,3.85243e-06
512,12500,6.96607e-05,3.89063e-06
513,12524.4,6.99045e-05,3.87664e-06
514,12548.8,7.01319e-05,3.83462e-06
515,12573.2,6.91646e-05,3.86531e-06
516,12597.7,6.86036e-05,3.91025e-06
517,12622.1,6.98265e-05,3.97403e-06
518,12646.5,7.0469e-05,4.00432e-06
519,12670.9,7.01154e-05,3.89711e-06
520,12695.3,6.96678e-05,3.89728e-06
521,12719.7,6.94521e-05,3.96342e-06
522,12744.1,6.9695e-05,3.92527e-06
523,12768.6,6.85809e-05,3.8497e-06
524,12793,6.88774e-05,3.86884e-06
525,12817.4,6.95056e-05,3.92224e-06
526,12841.8,7.03172e-05,3.94862e-06
527,12866.2,7.05829e-05,3.96888e-06
528,12890.6,7.04559e-05,3.88284e-06
529,12915,7.08321e-05,3.83578e-06
530,12939.5,6.91392e-05,4.00617e-06
